title,description,created_at,completed,completed_at,priority
"Complete quarterly report","Finalize financial data and submit to management","2025-04-01T09:00:00Z",true,"2025-04-02T15:30:00Z","HIGH"
"Buy office supplies","Purchase pens, paper, and printer ink","2025-04-02T10:15:00Z",false,,"MED"
"Schedule client call","Arrange a call to discuss project updates","2025-04-03T11:30:00Z",false,,"LOW"
"Update marketing plan","Revise strategy based on recent analytics","2025-04-04T14:00:00Z",true,"2025-04-05T12:00:00Z","HIGH"
"Fix website bug","Resolve navigation issue on mobile view","2025-04-05T08:45:00Z",false,,"MED"
"Plan team outing","Organize a team-building activity for next month","2025-04-06T13:20:00Z",false,,"LOW"
"Review code changes","Check pull requests for recent commits","2025-04-07T09:10:00Z",true,"2025-04-07T16:00:00Z","HIGH"
"Email vendor","Request updated pricing for supplies","2025-04-08T10:00:00Z",false,,"MED"
"Prepare presentation","Create slides for board meeting","2025-04-09T12:30:00Z",false,,"HIGH"
"Clean workspace","Organize desk and file documents","2025-04-10T15:00:00Z",true,"2025-04-10T16:30:00Z","LOW"
"Test new feature","Run QA on latest app release","2025-04-11T09:45:00Z",false,,"MED"
"Update social media","Post new content on company accounts","2025-04-12T11:00:00Z",true,"2025-04-12T13:00:00Z","MED"
"Attend training","Complete online course on data analysis","2025-04-13T14:20:00Z",false,,"LOW"
"Order lunch for team","Arrange catering for Friday meeting","2025-04-14T08:30:00Z",true,"2025-04-14T10:00:00Z","HIGH"
"Check inventory","Verify stock levels in warehouse","2025-04-15T10:50:00Z",false,,"MED"
"Write blog post","Draft article on industry trends","2025-04-16T12:15:00Z",false,,"LOW"
"Call IT support","Report issue with office Wi-Fi","2025-04-17T09:25:00Z",true,"2025-04-17T11:30:00Z","HIGH"
"Plan product launch","Coordinate tasks for new product release","2025-04-18T13:40:00Z",false,,"HIGH"
"Update CRM","Add new leads to database","2025-04-19T10:10:00Z",true,"2025-04-19T12:00:00Z","MED"
"Review budget","Analyze expenses for Q2","2025-04-20T14:50:00Z",false,,"HIGH"
"Send invoices","Issue bills to clients for April","2025-04-21T09:30:00Z",true,"2025-04-21T11:00:00Z","HIGH"
"Organize files","Sort digital documents into folders","2025-04-22T11:45:00Z",false,,"LOW"
"Meet with designer","Discuss new logo concepts","2025-04-23T13:00:00Z",false,,"MED"
"Update software","Install latest version of design tools","2025-04-24T10:20:00Z",true,"2025-04-24T12:30:00Z","MED"
"Plan webinar","Set up registration for online event","2025-04-25T15:10:00Z",false,,"HIGH"
"Check emails","Respond to urgent messages","2025-04-26T08:40:00Z",true,"2025-04-26T09:30:00Z","HIGH"
"Order business cards","Request new cards for team","2025-04-27T12:00:00Z",false,,"LOW"
"Analyze survey results","Compile feedback from customer survey","2025-04-28T14:30:00Z",false,,"MED"
"Fix printer","Troubleshoot paper jam issue","2025-04-29T09:15:00Z",true,"2025-04-29T10:00:00Z","HIGH"
"Update employee handbook","Revise policies for new hires","2025-04-30T11:50:00Z",false,,"LOW"
"Schedule performance reviews","Book meetings with team members","2025-05-01T13:20:00Z",false,,"MED"
"Test API endpoints","Verify functionality of new APIs","2025-05-02T10:40:00Z",true,"2025-05-02T14:00:00Z","HIGH"
"Plan ad campaign","Draft budget for social media ads","2025-05-03T09:00:00Z",false,,"HIGH"
"Call accountant","Discuss tax filings for Q1","2025-05-04T12:10:00Z",true,"2025-05-04T13:30:00Z","HIGH"
"Organize storage room","Clear out old equipment","2025-05-05T14:45:00Z",false,,"LOW"
"Write press release","Announce new product feature","2025-05-06T11:30:00Z",false,,"MED"
"Check backups","Ensure data is securely stored","2025-05-07T09:50:00Z",true,"2025-05-07T10:30:00Z","HIGH"
"Meet with HR","Discuss recruitment strategy","2025-05-08T13:15:00Z",false,,"MED"
"Update project timeline","Adjust deadlines for client project","2025-05-09T10:25:00Z",true,"2025-05-09T12:00:00Z","HIGH"
"Plan training session","Organize workshop for new software","2025-05-10T14:00:00Z",false,,"LOW"
"Review contracts","Check terms for new vendor agreement","2025-05-11T09:35:00Z",false,,"HIGH"
"Order team uniforms","Request new shirts for staff","2025-05-12T11:55:00Z",true,"2025-05-12T13:00:00Z","LOW"
"Test security system","Run diagnostics on office alarms","2025-05-13T10:15:00Z",false,,"MED"
"Update newsletter","Prepare content for monthly email","2025-05-14T12:40:00Z",false,,"MED"
"Call maintenance","Schedule repair for HVAC system","2025-05-15T09:20:00Z",true,"2025-05-15T11:00:00Z","HIGH"
"Plan Q3 goals","Draft objectives for next quarter","2025-05-16T13:50:00Z",false,,"HIGH"
"Check website analytics","Review traffic data for April","2025-05-17T10:30:00Z",true,"2025-05-17T12:15:00Z","MED"
"Organize client files","Sort documents for active projects","2025-05-18T14:10:00Z",false,,"LOW"
"Meet with supplier","Negotiate terms for bulk order","2025-05-19T09:45:00Z",false,,"HIGH"
"Prepare expense report","Submit receipts for April travel","2025-05-20T11:20:00Z",true,"2025-05-20T13:30:00Z","MED"